transaction_id,property_id,transaction_date,transaction_price,transaction_type,agent_id,title,property_type,bedrooms,bathrooms,size_sqm,location_id,listing_price,status,listed_date,Listed_date,neighborhood,city,state,avg_price_per_sqm,price_per_sqm,transaction_year,transaction_of_month,price_hold
1,1,2025-03-29,235696715,Sale,1004,Land in Woji,Land,0,0,325,7,218213575,Available,2024-05-16,2024-05-16,Woji,Obio-Akpor,Rivers,550000,725220.6615384616,2025,March,-17483140
2,1,2026-02-22,221610033,Sale,1022,Land in Woji,Land,0,0,325,7,218213575,Available,2024-05-16,2024-05-16,Woji,Obio-Akpor,Rivers,550000,681877.0246153846,2026,February,-3396458
3,2,2027-01-12,107543098,Sale,1014,Flat in D-Line,Residential,1,1,146,10,110464622,Available,2026-01-21,2026-01-21,D-Line,Port Harcourt,Rivers,620000,736596.5616438356,2027,January,2921524
4,3,2024-07-11,38865908,Sale,1001,Commercial in Diobu,Commercial,0,1,115,9,36098116,Rented,2024-04-21,2024-04-21,Diobu,Port Harcourt,Rivers,350000,337964.41739130433,2024,July,-2767792
5,3,2024-10-29,39385912,Lease,1016,Commercial in Diobu,Commercial,0,1,115,9,36098116,Rented,2024-04-21,2024-04-21,Diobu,Port Harcourt,Rivers,350000,342486.1913043478,2024,October,-3287796
6,4,2026-08-03,368046372,Sale,1030,Land in Rumuokoro,Land,0,0,874,4,373406424,Sold,2026-01-21,2026-01-21,Rumuokoro,Obio-Akpor,Rivers,450000,421105.68878718535,2026,August,5360052
7,4,2027-08-01,415184412,Rent,1024,Land in Rumuokoro,Land,0,0,874,4,373406424,Sold,2026-01-21,2026-01-21,Rumuokoro,Obio-Akpor,Rivers,450000,475039.37299771165,2027,August,-41777988
8,5,2023-05-13,47487817,Sale,1030,Flat in Diobu,Residential,4,3,135,9,46734755,Available,2023-01-14,2023-01-14,Diobu,Port Harcourt,Rivers,350000,351761.6074074074,2023,May,-753062
9,6,2025-08-30,103762913,Rent,1028,Commercial in Ada George,Commercial,0,3,242,8,107766249,Available,2024-11-20,2024-11-20,Ada George,Obio-Akpor,Rivers,480000,428772.36776859505,2025,August,4003336
10,6,2025-10-18,106589640,Rent,1020,Commercial in Ada George,Commercial,0,3,242,8,107766249,Available,2024-11-20,2024-11-20,Ada George,Obio-Akpor,Rivers,480000,440453.0578512397,2025,October,1176609
11,7,2025-05-29,348773537,Rent,1018,Land in Woji,Land,0,0,689,7,340432835,Rented,2024-12-05,2024-12-05,Woji,Obio-Akpor,Rivers,550000,506202.5210449927,2025,May,-8340702
12,7,2025-09-04,392154582,Lease,1009,Land in Woji,Land,0,0,689,7,340432835,Rented,2024-12-05,2024-12-05,Woji,Obio-Akpor,Rivers,550000,569164.8505079825,2025,September,-51721747
13,8,2025-09-01,155469617,Lease,1021,Duplex in Rumuola,Residential,3,5,243,6,162391782,Available,2025-02-14,2025-02-14,Rumuola,Obio-Akpor,Rivers,500000,639792.6625514403,2025,September,6922165
14,9,2024-05-18,163566812,Lease,1019,Duplex in Old GRA,Residential,5,3,215,3,150140896,Sold,2024-04-11,2024-04-11,Old GRA,Port Harcourt,Rivers,800000,760775.8697674419,2024,May,-13425916
15,10,2023-11-22,578033021,Rent,1029,Land in Ada George,Land,0,0,1175,8,545047029,Sold,2023-07-26,2023-07-26,Ada George,Obio-Akpor,Rivers,480000,491942.9965957447,2023,November,-32985992
16,11,2024-12-23,230335414,Lease,1022,Duplex in GRA Phase 1,Residential,6,4,263,1,231394477,Rented,2024-03-05,2024-03-05,GRA Phase 1,Port Harcourt,Rivers,850000,875800.0532319392,2024,December,1059063
17,11,2025-04-03,235800470,Sale,1001,Duplex in GRA Phase 1,Residential,6,4,263,1,231394477,Rented,2024-03-05,2024-03-05,GRA Phase 1,Port Harcourt,Rivers,850000,896579.7338403042,2025,April,-4405993
18,12,2025-11-01,130494012,Lease,1010,Duplex in Rumuodara,Residential,3,3,305,5,119350929,Sold,2025-02-16,2025-02-16,Rumuodara,Obio-Akpor,Rivers,420000,427849.2196721311,2025,November,-11143083
19,13,2023-05-30,101007251,Lease,1023,Flat in Rumuola,Residential,3,2,167,6,103052091,Available,2023-04-25,2023-04-25,Rumuola,Obio-Akpor,Rivers,500000,604833.8383233533,2023,May,2044840
20,13,2023-08-28,106222928,Sale,1013,Flat in Rumuola,Residential,3,2,167,6,103052091,Available,2023-04-25,2023-04-25,Rumuola,Obio-Akpor,Rivers,500000,636065.4371257485,2023,August,-3170837
21,13,2024-03-04,116996001,Rent,1030,Flat in Rumuola,Residential,3,2,167,6,103052091,Available,2023-04-25,2023-04-25,Rumuola,Obio-Akpor,Rivers,500000,700574.8562874252,2024,March,-13943910
22,14,2025-06-11,1011636532,Sale,1016,Land in GRA Phase 2,Land,0,0,1124,2,1042069843,Available,2024-07-02,2024-07-02,GRA Phase 2,Port Harcourt,Rivers,920000,900032.5017793594,2025,June,30433311
23,14,2026-05-17,1043345848,Rent,1018,Land in GRA Phase 2,Land,0,0,1124,2,1042069843,Available,2024-07-02,2024-07-02,GRA Phase 2,Port Harcourt,Rivers,920000,928243.6370106762,2026,May,-1276005
24,15,2025-08-09,103241262,Rent,1025,Flat in GRA Phase 2,Residential,3,2,87,2,94264655,Rented,2025-03-21,2025-03-21,GRA Phase 2,Port Harcourt,Rivers,920000,1186681.1724137932,2025,August,-8976607
25,15,2025-10-19,102000533,Rent,1023,Flat in GRA Phase 2,Residential,3,2,87,2,94264655,Rented,2025-03-21,2025-03-21,GRA Phase 2,Port Harcourt,Rivers,920000,1172419.91954023,2025,October,-7735878
26,15,2026-09-02,94184706,Rent,1029,Flat in GRA Phase 2,Residential,3,2,87,2,94264655,Rented,2025-03-21,2025-03-21,GRA Phase 2,Port Harcourt,Rivers,920000,1082582.8275862068,2026,September,79949
27,16,2026-12-24,175366984,Lease,1028,Commercial in GRA Phase 1,Commercial,0,2,235,1,183733078,Rented,2026-02-23,2026-02-23,GRA Phase 1,Port Harcourt,Rivers,850000,746242.485106383,2026,December,8366094
28,16,2027-03-23,204118564,Rent,1019,Commercial in GRA Phase 1,Commercial,0,2,235,1,183733078,Rented,2026-02-23,2026-02-23,GRA Phase 1,Port Harcourt,Rivers,850000,868589.6340425531,2027,March,-20385486
29,16,2028-01-08,199477576,Sale,1015,Commercial in GRA Phase 1,Commercial,0,2,235,1,183733078,Rented,2026-02-23,2026-02-23,GRA Phase 1,Port Harcourt,Rivers,850000,848840.7489361702,2028,January,-15744498
30,17,2024-06-30,176488611,Rent,1015,Duplex in Ada George,Residential,6,5,365,8,168132498,Rented,2023-10-11,2023-10-11,Ada George,Obio-Akpor,Rivers,480000,483530.4410958904,2024,June,-8356113
31,17,2025-01-03,191286653,Lease,1009,Duplex in Ada George,Residential,6,5,365,8,168132498,Rented,2023-10-11,2023-10-11,Ada George,Obio-Akpor,Rivers,480000,524073.0219178082,2025,January,-23154155
32,18,2024-01-01,379997014,Sale,1014,Commercial in GRA Phase 1,Commercial,0,1,486,1,360866887,Available,2023-08-13,2023-08-13,GRA Phase 1,Port Harcourt,Rivers,850000,781886.8600823046,2024,January,-19130127
33,18,2024-03-03,382361265,Sale,1030,Commercial in GRA Phase 1,Commercial,0,1,486,1,360866887,Available,2023-08-13,2023-08-13,GRA Phase 1,Port Harcourt,Rivers,850000,786751.574074074,2024,March,-21494378
34,18,2024-11-29,363034389,Lease,1006,Commercial in GRA Phase 1,Commercial,0,1,486,1,360866887,Available,2023-08-13,2023-08-13,GRA Phase 1,Port Harcourt,Rivers,850000,746984.3395061728,2024,November,-2167502
35,19,2026-02-15,57501751,Lease,1029,Flat in Rumuodara,Residential,4,3,136,5,50366351,Rented,2025-02-20,2025-02-20,Rumuodara,Obio-Akpor,Rivers,420000,422806.9926470588,2026,February,-7135400
36,19,2026-09-26,51613582,Rent,1022,Flat in Rumuodara,Residential,4,3,136,5,50366351,Rented,2025-02-20,2025-02-20,Rumuodara,Obio-Akpor,Rivers,420000,379511.6323529412,2026,September,-1247231
37,19,2027-01-02,58594182,Lease,1004,Flat in Rumuodara,Residential,4,3,136,5,50366351,Rented,2025-02-20,2025-02-20,Rumuodara,Obio-Akpor,Rivers,420000,430839.57352941175,2027,January,-8227831
